[2020-07-09 14:33:45,059] - INFO: 驱动app打开成功...
[2020-07-09 14:34:15,870] - INFO: 登录成功，进入首页...
[2020-07-09 14:34:15,875] - INFO: 验证批量启动设备
[2020-07-09 14:34:53,219] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 14:34:53,769] - INFO: ========测试完成========
[2020-07-09 14:37:17,223] - INFO: ========初始化测试环境========
[2020-07-09 14:37:17,364] - INFO: 获取设备系统版本号成功...
[2020-07-09 14:37:17,419] - INFO: 获取设备名成功...
[2020-07-09 14:37:17,489] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 14:37:17,489] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 14:37:17,500] - INFO: desired_caps更新完成...
[2020-07-09 14:37:17,506] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 14:37:17,844] - INFO: 应用已安装...
[2020-07-09 14:37:18,366] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 14:37:29,312] - INFO: 驱动app打开成功...
[2020-07-09 14:37:59,487] - INFO: 登录成功，进入首页...
[2020-07-09 14:37:59,492] - INFO: 验证批量启动设备
[2020-07-09 14:38:27,380] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 14:38:28,375] - INFO: ========测试完成========
[2020-07-09 14:38:36,756] - INFO: ========初始化测试环境========
[2020-07-09 14:38:36,916] - INFO: 获取设备系统版本号成功...
[2020-07-09 14:38:36,971] - INFO: 获取设备名成功...
[2020-07-09 14:38:37,233] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 14:38:37,233] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 14:38:37,259] - INFO: desired_caps更新完成...
[2020-07-09 14:38:37,265] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 14:38:37,575] - INFO: 应用已安装...
[2020-07-09 14:38:38,080] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 14:38:47,703] - INFO: 驱动app打开成功...
[2020-07-09 14:39:18,030] - INFO: 登录成功，进入首页...
[2020-07-09 14:39:18,036] - INFO: 验证批量启动设备
[2020-07-09 14:40:01,513] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 14:40:02,190] - INFO: ========测试完成========
[2020-07-09 14:40:50,788] - INFO: ========初始化测试环境========
[2020-07-09 14:40:50,942] - INFO: 获取设备系统版本号成功...
